Date,Price
04-Jan-21,3700.650 
31-Dec-20,3756.070 
30-Dec-20,3732.040 
29-Dec-20,3727.040 
28-Dec-20,3735.360 
24-Dec-20,3703.060 
23-Dec-20,3690.010 
22-Dec-20,3687.260 
21-Dec-20,3694.920 
18-Dec-20,3709.410 
17-Dec-20,3722.480 
16-Dec-20,3701.170 
15-Dec-20,3694.620 
14-Dec-20,3647.490 
11-Dec-20,3663.460 
10-Dec-20,3668.100 
09-Dec-20,3672.820 
08-Dec-20,3702.250 
07-Dec-20,3691.960 
04-Dec-20,3699.120 
03-Dec-20,3666.720 
02-Dec-20,3669.010 
01-Dec-20,3662.450 
30-Nov-20,3621.630 
27-Nov-20,3638.350 
25-Nov-20,3629.650 
24-Nov-20,3635.410 
23-Nov-20,3577.590 
20-Nov-20,3557.540 
19-Nov-20,3581.870 
18-Nov-20,3567.790 
17-Nov-20,3609.530 
16-Nov-20,3626.910 
13-Nov-20,3585.150 
12-Nov-20,3537.010 
11-Nov-20,3572.660 
10-Nov-20,3545.530 
09-Nov-20,3550.500 
06-Nov-20,3509.440 
05-Nov-20,3510.450 
04-Nov-20,3443.440 
03-Nov-20,3369.160 
02-Nov-20,3310.240 
30-Oct-20,3269.960 
29-Oct-20,3310.110 
28-Oct-20,3271.030 
27-Oct-20,3390.680 
26-Oct-20,3400.970 
23-Oct-20,3465.390 
22-Oct-20,3453.490 
21-Oct-20,3435.560 
20-Oct-20,3443.120 
19-Oct-20,3426.920 
16-Oct-20,3483.810 
15-Oct-20,3483.340 
14-Oct-20,3488.670 
13-Oct-20,3511.930 
12-Oct-20,3534.220 
09-Oct-20,3477.130 
08-Oct-20,3446.830 
07-Oct-20,3419.450 
06-Oct-20,3360.950 
05-Oct-20,3408.630 
02-Oct-20,3348.440 
01-Oct-20,3380.800 
30-Sep-20,3363.000 
29-Sep-20,3335.470 
28-Sep-20,3351.600 
25-Sep-20,3298.460 
24-Sep-20,3246.590 
23-Sep-20,3236.920 
22-Sep-20,3315.570 
21-Sep-20,3281.060 
18-Sep-20,3319.470 
17-Sep-20,3357.010 
16-Sep-20,3385.490 
15-Sep-20,3401.200 
14-Sep-20,3383.540 
11-Sep-20,3340.970 
10-Sep-20,3339.190 
09-Sep-20,3398.960 
08-Sep-20,3331.840 
04-Sep-20,3426.960 
03-Sep-20,3455.060 
02-Sep-20,3580.840 
01-Sep-20,3526.650 
31-Aug-20,3500.310 
28-Aug-20,3508.010 
27-Aug-20,3484.550 
26-Aug-20,3478.730 
25-Aug-20,3443.620 
24-Aug-20,3431.280 
21-Aug-20,3397.160 
20-Aug-20,3385.510 
19-Aug-20,3374.850 
18-Aug-20,3389.780 
17-Aug-20,3381.990 
14-Aug-20,3372.850 
13-Aug-20,3373.430 
12-Aug-20,3380.350 
11-Aug-20,3333.690 
10-Aug-20,3360.470 
07-Aug-20,3351.280 
06-Aug-20,3349.160 
05-Aug-20,3327.770 
